day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;6000;AMETHYSTS;9995;30;;;;;10002;10;10005;30;;;9998.5;99.0
1;6100;STARFRUIT;5054;25;;;;;5061;25;;;;;5057.5;84.6640625
1;6100;AMETHYSTS;9996;1;9995;24;;;10004;1;10005;24;;;10000.0;99.0
1;6200;AMETHYSTS;9998;3;9996;1;9995;29;10004;1;10005;29;;;10001.0;99.0
1;6200;STARFRUIT;5060;1;5054;30;;;5061;30;;;;;5060.5;90.703125
1;6300;STARFRUIT;5054;22;;;;;5062;22;;;;;5058.0;97.0625
1;6300;AMETHYSTS;9995;22;;;;;10005;22;;;;;10000.0;99.0
1;6400;STARFRUIT;5054;24;;;;;5061;24;;;;;5057.5;89.4296875
1;6400;AMETHYSTS;9996;1;9995;23;;;10002;6;10004;1;10005;23;9999.0;99.0
1;6500;STARFRUIT;5054;22;;;;;5061;22;;;;;5057.5;90.71875
1;6500;AMETHYSTS;9995;22;;;;;10005;22;;;;;10000.0;99.0
1;6600;AMETHYSTS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;99.0
1;6600;STARFRUIT;5055;29;;;;;5056;7;5062;29;;;5055.5;120.84375
1;6700;STARFRUIT;5054;31;;;;;5059;7;5061;31;;;5056.5;123.9296875
1;6700;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;99.0
1;6800;STARFRUIT;5056;4;5054;2;5053;29;5060;31;;;;;5058.0;104.25
1;6800;AMETHYSTS;10000;5;9996;2;9995;29;10004;2;10005;29;;;10002.0;99.0
1;6900;STARFRUIT;5053;29;;;;;5058;3;5060;29;;;5055.5;97.875
1;6900;AMETHYSTS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;99.0
1;7000;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;102.0
1;7000;STARFRUIT;5055;7;5054;31;;;5061;31;;;;;5058.0;112.7421875
1;7100;STARFRUIT;5054;31;;;;;5061;31;;;;;5057.5;121.4453125
1;7100;AMETHYSTS;9996;1;9995;30;;;9998;5;10002;7;10004;1;9997.0;102.0
1;7200;STARFRUIT;5056;6;5055;23;;;5062;23;;;;;5059.0;131.640625
1;7200;AMETHYSTS;9996;1;9995;22;;;10002;1;10004;1;10005;22;9999.0;112.0
1;7300;STARFRUIT;5055;1;5054;25;;;5061;26;;;;;5058.0;124.828125
1;7300;AMETHYSTS;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;112.0
1;7400;AMETHYSTS;10002;1;9995;22;;;10005;22;;;;;10003.5;112.0
1;7400;STARFRUIT;5055;22;;;;;5062;22;;;;;5058.5;134.8984375
1;7500;STARFRUIT;5055;29;;;;;5060;3;5062;29;;;5057.5;129.046875
1;7500;AMETHYSTS;9995;29;;;;;10005;29;;;;;10000.0;142.0
1;7600;AMETHYSTS;10002;1;9995;27;;;10005;27;;;;;10003.5;142.0
1;7600;STARFRUIT;5054;27;;;;;5061;27;;;;;5057.5;119.375
1;7700;AMETHYSTS;9996;1;9995;25;;;10002;5;10004;1;10005;25;9999.0;144.0
1;7700;STARFRUIT;5054;26;;;;;5061;26;;;;;5057.5;150.13671875
1;7800;AMETHYSTS;9995;23;;;;;10005;23;;;;;10000.0;144.0
1;7800;STARFRUIT;5055;1;5054;23;;;5061;23;;;;;5058.0;152.609375
1;7900;STARFRUIT;5055;2;5054;22;;;5061;24;;;;;5058.0;152.05859375
1;7900;AMETHYSTS;9996;2;9995;22;;;10002;7;10004;2;10005;22;9999.0;144.0
1;8000;AMETHYSTS;10000;3;9996;2;9995;28;10004;2;10005;28;;;10002.0;144.0
1;8000;STARFRUIT;5059;1;5057;3;5054;30;5061;30;;;;;5060.0;148.8046875
1;8100;AMETHYSTS;9995;25;;;;;10005;25;;;;;10000.0;144.0
1;8100;STARFRUIT;5054;25;;;;;5061;25;;;;;5057.5;149.4296875
1;8200;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;144.0
1;8200;STARFRUIT;5054;27;;;;;5061;27;;;;;5057.5;149.634765625
1;8300;STARFRUIT;5054;28;;;;;5061;28;;;;;5057.5;152.734375
1;8300;AMETHYSTS;9998;9;9995;28;;;10005;28;;;;;10001.5;144.0
1;8400;AMETHYSTS;9998;5;9995;29;;;10005;29;;;;;10001.5;144.0
1;8400;STARFRUIT;5055;29;;;;;5062;29;;;;;5058.5;154.2890625
1;8500;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;144.0
1;8500;STARFRUIT;5055;10;5054;25;;;5061;2;5062;25;;;5058.0;155.8828125
1;8600;AMETHYSTS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;144.0
1;8600;STARFRUIT;5055;2;5054;27;;;5061;29;;;;;5058.0;155.25390625
1;8700;STARFRUIT;5059;1;5055;8;5054;24;5061;24;;;;;5060.0;151.73828125
1;8700;AMETHYSTS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;144.0
1;8800;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;144.0
1;8800;STARFRUIT;5054;1;5053;30;;;5060;1;5061;30;;;5057.0;150.81640625
1;8900;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;144.0
1;8900;STARFRUIT;5055;2;5054;26;;;5061;26;;;;;5058.0;153.39453125
1;9000;AMETHYSTS;9995;23;;;;;10005;23;;;;;10000.0;144.0
1;9000;STARFRUIT;5054;23;;;;;5061;23;;;;;5057.5;156.09375
1;9100;STARFRUIT;5056;5;5055;22;;;5062;22;;;;;5059.0;158.18359375
1;9100;AMETHYSTS;9995;22;;;;;9998;1;10005;22;;;9996.5;144.0
1;9200;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;146.0
1;9200;STARFRUIT;5056;3;5055;27;;;5061;2;5062;25;;;5058.5;158.015625
1;9300;AMETHYSTS;10002;11;9998;1;9996;1;10004;1;10005;29;;;10003.0;146.0
1;9300;STARFRUIT;5055;30;;;;;5062;30;;;;;5058.5;160.4296875
1;9400;AMETHYSTS;10002;1;9996;2;9995;28;10004;2;10005;28;;;10003.0;201.0
1;9400;STARFRUIT;5056;3;5055;30;;;5062;30;;;;;5059.0;160.91015625
1;9500;STARFRUIT;5055;26;;;;;5062;26;;;;;5058.5;159.818359375
1;9500;AMETHYSTS;10002;1;9996;2;9995;24;10004;2;10005;24;;;10003.0;203.0
1;9600;AMETHYSTS;9996;1;9995;20;;;10002;6;10004;1;10005;20;9999.0;205.0
1;9600;STARFRUIT;5056;1;5055;20;;;5062;21;;;;;5059.0;161.728515625
1;9700;AMETHYSTS;9996;1;9995;30;;;10000;4;10004;1;10005;30;9998.0;205.0
1;9700;STARFRUIT;5056;31;;;;;5059;5;5061;5;5063;31;5057.5;165.66015625
1;9800;STARFRUIT;5056;26;;;;;5062;2;5063;24;;;5059.0;164.4140625
1;9800;AMETHYSTS;9998;1;9996;2;9995;24;10004;2;10005;24;;;10001.0;205.0
1;9900;STARFRUIT;5055;24;;;;;5062;24;;;;;5058.5;161.5
1;9900;AMETHYSTS;9995;24;;;;;10005;24;;;;;10000.0;205.0
1;10000;STARFRUIT;5055;27;;;;;5062;27;;;;;5058.5;158.17578125
1;10000;AMETHYSTS;9995;27;;;;;10005;27;;;;;10000.0;205.0
1;10100;AMETHYSTS;10002;4;9996;1;9995;20;10004;1;10005;20;;;10003.0;205.0
1;10100;STARFRUIT;5055;21;;;;;5060;5;5062;21;;;5057.5;156.30078125
1;10200;STARFRUIT;5055;20;;;;;5062;20;;;;;5058.5;154.0859375
1;10200;AMETHYSTS;9995;20;;;;;10005;20;;;;;10000.0;213.0
1;10300;STARFRUIT;5056;5;5055;25;;;5062;25;;;;;5059.0;155.76953125
1;10300;AMETHYSTS;9996;1;9995;24;;;10004;1;10005;24;;;10000.0;213.0
1;10400;STARFRUIT;5055;25;;;;;5062;25;;;;;5058.5;155.6953125
1;10400;AMETHYSTS;9995;25;;;;;10005;25;;;;;10000.0;213.0
1;10500;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;213.0
1;10500;STARFRUIT;5056;8;5055;26;;;5062;26;;;;;5059.0;153.45703125
1;10600;STARFRUIT;5060;3;5055;20;;;5062;20;;;;;5061.0;158.640625
1;10600;AMETHYSTS;9995;20;;;;;10005;20;;;;;10000.0;217.0
1;10700;STARFRUIT;5056;7;5055;24;;;5062;24;;;;;5059.0;164.83984375
1;10700;AMETHYSTS;9995;24;;;;;9998;3;10005;24;;;9996.5;217.0
1;10800;STARFRUIT;5057;6;5056;23;;;5063;23;;;;;5060.0;168.71484375
1;10800;AMETHYSTS;9995;23;;;;;10002;1;10005;23;;;9998.5;223.0
1;10900;AMETHYSTS;9996;1;9995;22;;;10000;6;10004;1;10005;22;9998.0;223.0
1;10900;STARFRUIT;5055;23;;;;;5058;6;5062;23;;;5056.5;165.88671875
1;11000;STARFRUIT;5055;27;;;;;5060;2;5061;1;5062;26;5057.5;162.1328125
1;11000;AMETHYSTS;9996;1;9995;26;;;10004;1;10005;26;;;10000.0;223.0
1;11100;STARFRUIT;5056;1;5055;31;;;5061;1;5062;30;;;5058.5;176.0078125
1;11100;AMETHYSTS;9996;1;9995;30;;;10002;1;10004;1;10005;30;9999.0;223.0
1;11200;STARFRUIT;5055;30;;;;;5060;5;5062;30;;;5057.5;185.65625
1;11200;AMETHYSTS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;223.0
1;11300;AMETHYSTS;9996;2;9995;25;;;10002;2;10004;2;10005;25;9999.0;223.0
1;11300;STARFRUIT;5055;2;5054;25;;;5061;27;;;;;5058.0;171.765625
1;11400;STARFRUIT;5054;30;;;;;5061;30;;;;;5057.5;171.078125
1;11400;AMETHYSTS;9995;30;;;;;10005;30;;;;;10000.0;223.0
1;11500;STARFRUIT;5055;1;5054;28;;;5059;5;5061;29;;;5057.0;171.8359375
1;11500;AMETHYSTS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;223.0
1;11600;STARFRUIT;5055;24;;;;;5060;7;5061;2;5062;22;5057.5;177.671875
1;11600;AMETHYSTS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;223.0
1;11700;AMETHYSTS;10000;4;9996;2;9995;20;10004;2;10005;20;;;10002.0;223.0
1;11700;STARFRUIT;5057;4;5054;22;;;5061;22;;;;;5059.0;164.2109375
1;11800;STARFRUIT;5055;5;5054;21;;;5056;4;5061;22;;;5055.5;173.890625
1;11800;AMETHYSTS;9998;10;9996;1;9995;21;10004;1;10005;21;;;10001.0;223.0
1;11900;STARFRUIT;5057;4;5054;23;;;5061;23;;;;;5059.0;164.8046875
1;11900;AMETHYSTS;10002;1;10000;4;9998;1;10004;1;10005;22;;;10003.0;223.0
1;12000;STARFRUIT;5054;28;;;;;5060;1;5061;27;;;5057.0;155.953125
1;12000;AMETHYSTS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;225.0
1;12100;AMETHYSTS;9996;2;9995;23;;;9998;8;10004;2;10005;23;9997.0;225.0
1;12100;STARFRUIT;5054;2;5053;23;;;5060;2;5061;23;;;5057.0;155.34375
1;12200;STARFRUIT;5054;25;;;;;5061;25;;;;;5057.5;161.2109375
1;12200;AMETHYSTS;9996;2;9995;23;;;10004;2;10005;23;;;10000.0;241.0
1;12300;STARFRUIT;5055;4;5054;25;;;5061;25;;;;;5058.0;167.1171875
1;12300;AMETHYSTS;9996;1;9995;24;;;10002;3;10004;1;10005;24;9999.0;241.0
1;12400;STARFRUIT;5054;29;;;;;5061;29;;;;;5057.5;158.5625
1;12400;AMETHYSTS;10002;1;9998;5;9995;29;10005;29;;;;;10003.5;241.0
1;12500;AMETHYSTS;10000;3;9996;1;9995;22;10004;1;10005;22;;;10002.0;243.0
1;12500;STARFRUIT;5056;3;5054;1;5053;22;5060;1;5061;22;;;5058.0;154.90625
1;12600;STARFRUIT;5056;4;5053;26;;;5060;26;;;;;5058.0;144.609375
1;12600;AMETHYSTS;10000;4;9995;26;;;10005;26;;;;;10002.5;243.0
1;12700;STARFRUIT;5054;1;5053;27;;;5060;28;;;;;5057.0;151.0625
1;12700;AMETHYSTS;10002;1;9996;1;9995;27;10004;1;10005;27;;;10003.0;243.0
1;12800;STARFRUIT;5057;4;5054;30;;;5060;2;5061;28;;;5058.5;157.5390625
1;12800;AMETHYSTS;10000;4;9996;2;9995;28;10002;9;10004;2;10005;28;10001.0;245.0
1;12900;AMETHYSTS;9996;2;9995;21;;;10002;4;10004;2;10005;21;9999.0;245.0
1;12900;STARFRUIT;5054;23;;;;;5059;2;5061;23;;;5056.5;160.9765625
1;13000;STARFRUIT;5054;32;;;;;5061;32;;;;;5057.5;168.4296875
1;13000;AMETHYSTS;9996;2;9995;30;;;10002;2;10004;2;10005;30;9999.0;245.0
1;13100;STARFRUIT;5054;21;;;;;5057;2;5061;21;;;5055.5;159.328125
1;13100;AMETHYSTS;9995;21;;;;;10000;2;10005;21;;;9997.5;245.0
1;13200;STARFRUIT;5059;1;5055;7;5054;31;5060;2;5061;29;;;5059.5;156.6015625
1;13200;AMETHYSTS;9998;9;9996;2;9995;29;10004;2;10005;29;;;10001.0;245.0
1;13300;AMETHYSTS;10002;2;9996;1;9995;22;10004;1;10005;22;;;10003.0;245.0
1;13300;STARFRUIT;5054;1;5053;22;;;5060;1;5061;22;;;5057.0;157.3515625
1;13400;STARFRUIT;5053;26;;;;;5060;26;;;;;5056.5;151.5703125
1;13400;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;249.0
1;13500;STARFRUIT;5053;25;;;;;5060;25;;;;;5056.5;142.3203125
1;13500;AMETHYSTS;9996;1;9995;24;;;10004;1;10005;24;;;10000.0;249.0
1;13600;STARFRUIT;5052;26;;;;;5057;3;5059;26;;;5054.5;130.3359375
1;13600;AMETHYSTS;9996;2;9995;24;;;10002;6;10004;2;10005;24;9999.0;249.0
1;13700;AMETHYSTS;10002;1;9995;28;;;10005;28;;;;;10003.5;249.0
1;13700;STARFRUIT;5052;28;;;;;5059;28;;;;;5055.5;135.8671875
1;13800;STARFRUIT;5052;23;;;;;5059;23;;;;;5055.5;136.1171875
1;13800;AMETHYSTS;9998;1;9995;23;;;10005;23;;;;;10001.5;251.0
1;13900;STARFRUIT;5053;21;;;;;5054;3;5059;1;5060;20;5053.5;142.1171875
1;13900;AMETHYSTS;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;251.0
1;14000;STARFRUIT;5054;2;5053;29;;;5059;1;5060;28;;;5056.5;141.6015625
1;14000;AMETHYSTS;10002;6;9998;1;9996;1;10004;1;10005;28;;;10003.0;251.0
1;14100;AMETHYSTS;9996;2;9995;20;;;10002;4;10004;2;10005;20;9999.0;263.0
1;14100;STARFRUIT;5053;22;;;;;5060;22;;;;;5056.5;148.2734375
1;14200;STARFRUIT;5053;21;;;;;5060;21;;;;;5056.5;148.9375
1;14200;AMETHYSTS;9995;21;;;;;10005;21;;;;;10000.0;263.0
1;14300;STARFRUIT;5054;22;;;;;5061;22;;;;;5057.5;170.375
1;14300;AMETHYSTS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;266.0
1;14400;AMETHYSTS;10002;4;9996;2;9995;21;10004;2;10005;21;;;10003.0;266.0
1;14400;STARFRUIT;5055;1;5054;21;;;5061;23;;;;;5058.0;178.3125
1;14500;STARFRUIT;5055;1;5054;28;;;5059;6;5061;29;;;5057.0;178.9140625
1;14500;AMETHYSTS;9996;1;9995;28;;;10002;10;10004;1;10005;28;9999.0;274.0
1;14600;STARFRUIT;5055;28;;;;;5057;3;5062;28;;;5056.0;192.3046875
1;14600;AMETHYSTS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;274.0
1;14700;STARFRUIT;5055;1;5054;23;;;5059;2;5061;24;;;5057.0;178.828125
1;14700;AMETHYSTS;9996;1;9995;23;;;10004;1;10005;23;;;10000.0;280.0
1;14800;AMETHYSTS;9996;1;9995;30;;;9998;1;10004;1;10005;30;9997.0;280.0
1;14800;STARFRUIT;5054;31;;;;;5059;3;5061;31;;;5056.5;169.46875
1;14900;STARFRUIT;5059;4;5055;26;;;5061;1;5062;25;;;5060.0;181.7265625
1;14900;AMETHYSTS;9996;1;9995;25;;;10002;1;10004;1;10005;25;9999.0;282.0
1;15000;STARFRUIT;5056;4;5055;27;;;5061;2;5062;25;;;5058.5;185.6015625
1;15000;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;282.0
1;15100;STARFRUIT;5054;21;;;;;5061;21;;;;;5057.5;178.1953125
1;15100;AMETHYSTS;9996;1;9995;20;;;9998;1;10004;1;10005;20;9997.0;282.0
1;15200;AMETHYSTS;10000;4;9996;2;9995;21;10002;4;10004;2;10005;21;10001.0;284.0
1;15200;STARFRUIT;5057;4;5055;4;5054;23;5061;23;;;;;5059.0;178.28125
